ID,Name
III.L,3I GROUP PLC
ADM.L,ADMIRAL GROUP PLC
AAL.L,ANGLO AMERICAN PLC
ANTO.L,ANTOFAGASTA PLC
AHT.L,ASHTEAD GROUP PLC
ABF.L,ASSOCIATED BRITISH FOODS PLC
AZN.L,ASTRAZENECA PLC
AUTO.L,AUTO TRADER GROUP PLC
AVST.L,AVAST PLC
AVV.L,AVEVA GROUP PLC
AV.L,AVIVA PLC
BME.L,B&M EUROPEAN VALUE RETAIL S.A.
BA.L,BAE SYSTEMS PLC
BARC.L,BARCLAYS PLC
BDEV.L,BARRATT DEVELOPMENTS PLC
BKG.L,BERKELEY GROUP HOLDINGS (THE) PLC
BHP.L,BHP GROUP PLC
BP.L,BP PLC
BATS.L,BRITISH AMERICAN TOBACCO PLC
BLND.L,BRITISH LAND CO PLC
BT-A.L,BT GROUP PLC
BNZL.L,BUNZL PLC
BRBY.L,BURBERRY GROUP PLC
CCH.L,COCA-COLA HBC AG
CPG.L,COMPASS GROUP PLC
CRH.L,CRH PLC
CRDA.L,CRODA INTERNATIONAL PLC
DCC.L,DCC PLC
DGE.L,DIAGEO PLC
ENT.L,ENTAIN PLC
EVR.L,EVRAZ PLC
EXPN.L,EXPERIAN PLC
FERG.L,FERGUSON PLC
FLTR.L,FLUTTER ENTERTAINMENT PLC
FRES.L,FRESNILLO PLC
GSK.L,GLAXOSMITHKLINE PLC
GLEN.L,GLENCORE PLC
HLMA.L,HALMA PLC
HL.L,HARGREAVES LANSDOWN PLC
HIK.L,HIKMA PHARMACEUTICALS PLC
HSBA.L,HSBC HLDGS PLC
IMB.L,IMPERIAL BRANDS PLC
INF.L,INFORMA PLC
IHG.L,INTERCONTINENTAL HOTELS GROUP PLC
ICP.L,INTERMEDIATE CAPITAL GROUP PLC
ITRK.L,INTERTEK GROUP PLC
IAG.L,INTL CONSOLIDATED AIRLINES GROUP SA
JD.L,JD SPORTS FASHION PLC
JMAT.L,JOHNSON MATTHEY PLC
JET.L,JUST EAT TAKEAWAY.COM N.V.
KGF.L,KINGFISHER PLC
LAND.L,LAND SECURITIES GROUP PLC
LGEN.L,LEGAL & GENERAL GROUP PLC
LLOY.L,LLOYDS BANKING GROUP PLC
LSEG.L,LONDON STOCK EXCHANGE GROUP PLC
MNG.L,M&G PLC
MRO.L,MELROSE INDUSTRIES PLC
MNDI.L,MONDI PLC
MRW.L,MORRISON(WM.)SUPERMARKETS PLC
NG.L,NATIONAL GRID PLC
NWG.L,NATWEST GROUP PLC
NXT.L,NEXT PLC
OCDO.L,OCADO GROUP PLC
PSON.L,PEARSON PLC
PNN.L,PENNON GROUP PLC
PSH.L,PERSHING SQUARE HOLDINGS LTD
PSN.L,PERSIMMON PLC
PHNX.L,PHOENIX GROUP HOLDINGS PLC
POLY.L,POLYMETAL INTERNATIONAL PLC
PRU.L,PRUDENTIAL PLC
RBGLY,RECKITT BENCKISER GROUP PLC
REL.L,RELX PLC
RTO.L,RENTOKIL INITIAL PLC
RMV.L,RIGHTMOVE PLC
RIO.L,RIO TINTO PLC
RR.L,ROLLS-ROYCE HOLDINGS PLC
RDSA.L,ROYAL DUTCH SHELL PLC
RDSB.L,ROYAL DUTCH SHELL PLC
RSA.L,RSA INSURANCE GROUP PLC
SGE.L,SAGE GROUP PLC
SBRY.L,SAINSBURY(J) PLC
SDR.L,SCHRODERS PLC
SMT.L,SCOTTISH MORTGAGE INV TST PLC
SGRO.L,SEGRO PLC
SVT.L,SEVERN TRENT PLC
SN.L,SMITH & NEPHEW PLC
SMDS.L,SMITH (DS) PLC
SMIN.L,SMITHS GROUP PLC
SKG.L,SMURFIT KAPPA GROUP PLC
SPX.L,SPIRAX-SARCO ENGINEERING PLC
SSE.L,SSE PLC
STJ.L,ST.JAMES'S PLACE PLC
STAN.L,STANDARD CHARTERED PLC
SLA.L,STANDARD LIFE ABERDEEN PLC
TW.L,TAYLOR WIMPEY PLC
TSCO.L,TESCO PLC
ULVR.L,UNILEVER PLC
UU.L,UNITED UTILITIES GROUP PLC
VOD.L,VODAFONE GROUP PLC
WTB.L,WHITBREAD PLC
WPP.L,WPP PLC
