Sector,Name,Symbol
Asia Pacific Ex Japan,Fidelity Index Pacific ex Japan (Class P),0P00011UPP.L
Asia Pacific Ex Japan,HSBC Pacific Index (Class C),0P0000WN7M.L
Asia Pacific Ex Japan,Vanguard Pacific ex-Japan Stock Index,0P0000KM1Z.L
Europe Excluding UK,Fidelity Index Europe ex UK,0P00013O92.L
Europe Excluding UK,HSBC European Index (Class C),0P0000WN7I.L
Europe Excluding UK,Vanguard FTSE Developed Europe ex-UK Equity Index,VERE.DE
Europe Including UK,Vanguard SRI European Stock,0P0000UGLE.L
Global,Aviva Inv International Index Tracking,0P0000A8XL.L
Global,Fidelity Index World,0P0000XNUY.L
Global,HSBC FTSE All-World Index (Class C),0P00013P6I.L
Global,Vanguard ESG Developed World All Cap Equity,0P0000UGLG.L
Global,Vanguard FTSE Developed World ex-UK Equity Index,0P0000KSP7.L
Global,Vanguard FTSE Global All Cap Index,0P00018XAR.L
Global,Vanguard Global Small-Cap Index,0P000147M1.L
Global,Vanguard LifeStrategy 100% Equity,0P0000TKZO.L
Global Emerging Markets,Fidelity Index Emerging Markets,0P00011YDA.L
Global Emerging Markets,Henderson Rowe FTSE RAFI,0P0000UHUM.L
Global Emerging Markets,Vanguard Emerging Markets Stock Index,0P000147LN.L
Japan,Fidelity Index Japan (Class P),0P00013O93.L
Japan,HSBC Japan Index (Class C),0P0000WN7K.L
Japan,Royal London Japan Tracker,0P0000NAG3.L
Japan,Vanguard Japan Stock Index,0P000147M4.L
North America,Fidelity Index US (Class P),0P0001FIOP.L
North America,HSBC American Index (Class C),0P0000WN7H.L
North America,UBS S&P 500 Index,0P000147T9.L
UK,ASI UK All Share Tracker (Class B),0P0000VGXY.L
UK,Aviva Inv UK Index Tracking (Class 2),0P0000XQBH.L
UK,Fidelity Index UK (Class P),0P000125KT.L
UK,HSBC FTSE 100 Index (Class C),0P0000WN79.L
UK,HSBC FTSE 250 Index (Class S),0P000159K7.L
UK,HSBC FTSE All-Share Index (Class C),0P0000WN7A.L
UK,Royal London FTSE 350 Tracker,0P0000NAG0.L
